,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,2019-01-01,Partly cloudy,82,28,68,1017,Coimbatore
1,2019-01-02,Partly cloudy,81,27,62,1017,Coimbatore
2,2019-01-03,Partly cloudy,82,28,58,1017,Coimbatore
3,2019-01-04,Partly cloudy,83,28,55,1017,Coimbatore
4,2019-01-05,Partly cloudy,83,28,60,1016,Coimbatore
5,2019-01-06,Partly cloudy,83,28,65,1014,Coimbatore
6,2019-01-07,Partly cloudy,83,29,65,1013,Coimbatore
7,2019-01-08,Partly cloudy,86,30,58,1014,Coimbatore
8,2019-01-09,Sunny,85,30,50,1014,Coimbatore
9,2019-01-10,Partly cloudy,85,30,57,1014,Coimbatore
10,2019-01-11,Patchy rain possible,86,30,64,1014,Coimbatore
11,2019-01-12,Patchy rain possible,86,30,65,1014,Coimbatore
12,2019-01-13,Partly cloudy,86,30,61,1014,Coimbatore
13,2019-01-14,Light drizzle,86,30,66,1013,Coimbatore
14,2019-01-15,Partly cloudy,87,30,56,1014,Coimbatore
15,2019-01-16,Sunny,86,30,49,1014,Coimbatore
16,2019-01-17,Partly cloudy,85,30,59,1013,Coimbatore
17,2019-01-18,Patchy rain possible,85,30,65,1013,Coimbatore
18,2019-01-19,Partly cloudy,87,31,56,1013,Coimbatore
19,2019-01-20,Sunny,86,30,53,1015,Coimbatore
20,2019-01-21,Sunny,85,30,44,1015,Coimbatore
21,2019-01-22,Partly cloudy,86,30,51,1014,Coimbatore
22,2019-01-23,Patchy rain possible,87,31,59,1014,Coimbatore
23,2019-01-24,Partly cloudy,88,31,59,1014,Coimbatore
24,2019-01-25,Patchy rain possible,86,30,67,1014,Coimbatore
25,2019-01-26,Light rain shower,87,30,71,1014,Coimbatore
26,2019-01-27,Light rain shower,86,30,68,1014,Coimbatore
27,2019-01-28,Light rain shower,87,30,69,1014,Coimbatore
28,2019-01-29,Light rain shower,84,29,70,1015,Coimbatore
29,2019-01-30,Light rain shower,84,29,67,1015,Coimbatore
30,2019-01-31,Light rain shower,83,29,67,1014,Coimbatore
31,2019-02-01,Patchy rain possible,84,29,64,1014,Coimbatore
32,2019-02-02,Cloudy,86,30,65,1013,Coimbatore
33,2019-02-03,Partly cloudy,88,31,55,1014,Coimbatore
34,2019-02-04,Patchy rain possible,89,31,60,1015,Coimbatore
35,2019-02-05,Patchy rain possible,89,32,64,1016,Coimbatore
36,2019-02-06,Partly cloudy,89,32,55,1014,Coimbatore
37,2019-02-07,Partly cloudy,90,32,47,1013,Coimbatore
38,2019-02-08,Partly cloudy,91,33,56,1013,Coimbatore
39,2019-02-09,Partly cloudy,92,33,53,1013,Coimbatore
40,2019-02-10,Light rain shower,90,32,61,1015,Coimbatore
41,2019-02-11,Light rain shower,87,31,63,1015,Coimbatore
42,2019-02-12,Patchy rain possible,87,31,61,1016,Coimbatore
43,2019-02-13,Partly cloudy,89,32,56,1016,Coimbatore
44,2019-02-14,Patchy rain possible,90,32,54,1014,Coimbatore
45,2019-02-15,Partly cloudy,90,32,62,1014,Coimbatore
46,2019-02-16,Patchy rain possible,92,34,63,1014,Coimbatore
47,2019-02-17,Partly cloudy,94,34,57,1013,Coimbatore
48,2019-02-18,Partly cloudy,96,35,48,1011,Coimbatore
49,2019-02-19,Moderate or heavy rain shower,91,33,55,1012,Coimbatore
50,2019-02-20,Patchy rain possible,91,33,62,1014,Coimbatore
51,2019-02-21,Partly cloudy,91,33,51,1016,Coimbatore
52,2019-02-22,Sunny,91,33,41,1014,Coimbatore
53,2019-02-23,Partly cloudy,92,33,31,1013,Coimbatore
54,2019-02-24,Partly cloudy,94,34,33,1012,Coimbatore
55,2019-02-25,Sunny,94,35,42,1011,Coimbatore
56,2019-02-26,Partly cloudy,99,37,46,1010,Coimbatore
57,2019-02-27,Partly cloudy,94,35,60,1010,Coimbatore
58,2019-02-28,Cloudy,97,36,52,1010,Coimbatore
59,2019-03-01,Patchy rain possible,96,36,49,1010,Coimbatore
60,2019-03-02,Patchy rain possible,92,34,58,1011,Coimbatore
61,2019-03-03,Partly cloudy,93,34,54,1011,Coimbatore
62,2019-03-04,Partly cloudy,95,35,55,1010,Coimbatore
63,2019-03-05,Partly cloudy,99,37,54,1010,Coimbatore
64,2019-03-06,Patchy rain possible,98,37,56,1010,Coimbatore
65,2019-03-07,Partly cloudy,102,39,49,1010,Coimbatore
66,2019-03-08,Partly cloudy,98,37,53,1011,Coimbatore
67,2019-03-09,Patchy rain possible,96,36,52,1013,Coimbatore
68,2019-03-10,Patchy rain possible,95,35,53,1013,Coimbatore
69,2019-03-11,Patchy rain possible,95,35,47,1014,Coimbatore
70,2019-03-12,Partly cloudy,95,35,37,1014,Coimbatore
71,2019-03-13,Partly cloudy,95,35,37,1014,Coimbatore
72,2019-03-14,Partly cloudy,95,35,35,1014,Coimbatore
73,2019-03-15,Partly cloudy,95,35,32,1013,Coimbatore
74,2019-03-16,Partly cloudy,93,34,42,1013,Coimbatore
75,2019-03-17,Partly cloudy,94,34,41,1013,Coimbatore
76,2019-03-18,Partly cloudy,95,35,48,1013,Coimbatore
77,2019-03-19,Partly cloudy,96,36,49,1011,Coimbatore
78,2019-03-20,Partly cloudy,96,36,49,1011,Coimbatore
