,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,2019-01-01,Sunny,78,26,64,1018,Nellore
1,2019-01-02,Partly cloudy,81,27,67,1018,Nellore
2,2019-01-03,Sunny,81,27,70,1018,Nellore
3,2019-01-04,Partly cloudy,82,28,71,1018,Nellore
4,2019-01-05,Patchy rain possible,81,27,74,1017,Nellore
5,2019-01-06,Partly cloudy,80,27,74,1015,Nellore
6,2019-01-07,Partly cloudy,80,27,76,1014,Nellore
7,2019-01-08,Sunny,82,28,70,1014,Nellore
8,2019-01-09,Sunny,82,28,70,1014,Nellore
9,2019-01-10,Partly cloudy,82,28,73,1014,Nellore
10,2019-01-11,Partly cloudy,82,28,75,1015,Nellore
11,2019-01-12,Partly cloudy,82,28,73,1015,Nellore
12,2019-01-13,Partly cloudy,81,27,72,1015,Nellore
13,2019-01-14,Partly cloudy,82,28,72,1015,Nellore
14,2019-01-15,Sunny,82,28,75,1015,Nellore
15,2019-01-16,Partly cloudy,82,28,75,1015,Nellore
16,2019-01-17,Partly cloudy,82,28,76,1014,Nellore
17,2019-01-18,Partly cloudy,82,28,74,1014,Nellore
18,2019-01-19,Sunny,82,28,71,1014,Nellore
19,2019-01-20,Sunny,82,28,71,1015,Nellore
20,2019-01-21,Sunny,82,28,71,1015,Nellore
21,2019-01-22,Partly cloudy,82,28,72,1015,Nellore
22,2019-01-23,Partly cloudy,83,28,75,1014,Nellore
23,2019-01-24,Partly cloudy,84,29,77,1015,Nellore
24,2019-01-25,Cloudy,85,30,78,1014,Nellore
25,2019-01-26,Patchy rain possible,85,30,79,1014,Nellore
26,2019-01-27,Light rain shower,83,29,77,1015,Nellore
27,2019-01-28,Light rain shower,78,25,79,1016,Nellore
28,2019-01-29,Cloudy,80,27,76,1016,Nellore
29,2019-01-30,Partly cloudy,81,27,71,1016,Nellore
30,2019-01-31,Patchy rain possible,81,27,75,1016,Nellore
31,2019-02-01,Patchy rain possible,81,27,72,1015,Nellore
32,2019-02-02,Partly cloudy,83,28,74,1014,Nellore
33,2019-02-03,Partly cloudy,84,29,75,1015,Nellore
34,2019-02-04,Partly cloudy,84,29,74,1017,Nellore
35,2019-02-05,Partly cloudy,85,29,70,1017,Nellore
36,2019-02-06,Partly cloudy,85,29,72,1014,Nellore
37,2019-02-07,Partly cloudy,85,30,72,1013,Nellore
38,2019-02-08,Cloudy,86,30,77,1013,Nellore
39,2019-02-09,Partly cloudy,87,31,77,1013,Nellore
40,2019-02-10,Light rain shower,86,30,78,1015,Nellore
41,2019-02-11,Patchy rain possible,85,30,77,1016,Nellore
42,2019-02-12,Partly cloudy,85,29,76,1017,Nellore
43,2019-02-13,Partly cloudy,85,29,75,1018,Nellore
44,2019-02-14,Partly cloudy,85,30,74,1015,Nellore
45,2019-02-15,Partly cloudy,88,31,72,1014,Nellore
46,2019-02-16,Partly cloudy,90,32,71,1013,Nellore
47,2019-02-17,Partly cloudy,90,32,76,1012,Nellore
