,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,2019-01-01,Sunny,83,28,55,1019,Rajahmundry
1,2019-01-02,Sunny,83,28,61,1018,Rajahmundry
2,2019-01-03,Sunny,88,31,65,1019,Rajahmundry
3,2019-01-04,Sunny,83,28,69,1018,Rajahmundry
4,2019-01-05,Sunny,82,28,69,1017,Rajahmundry
5,2019-01-06,Sunny,82,28,71,1016,Rajahmundry
6,2019-01-07,Partly cloudy,88,31,66,1015,Rajahmundry
7,2019-01-08,Partly cloudy,88,31,63,1014,Rajahmundry
8,2019-01-09,Sunny,84,29,72,1015,Rajahmundry
9,2019-01-10,Partly cloudy,82,28,78,1015,Rajahmundry
10,2019-01-11,Partly cloudy,82,28,75,1016,Rajahmundry
11,2019-01-12,Partly cloudy,83,28,74,1016,Rajahmundry
12,2019-01-13,Partly cloudy,83,28,73,1016,Rajahmundry
13,2019-01-14,Partly cloudy,86,30,68,1015,Rajahmundry
14,2019-01-15,Partly cloudy,87,31,64,1015,Rajahmundry
15,2019-01-16,Partly cloudy,83,29,73,1015,Rajahmundry
16,2019-01-17,Partly cloudy,85,29,76,1014,Rajahmundry
17,2019-01-18,Partly cloudy,89,32,73,1014,Rajahmundry
18,2019-01-19,Partly cloudy,87,31,70,1015,Rajahmundry
19,2019-01-20,Sunny,88,31,71,1016,Rajahmundry
20,2019-01-21,Sunny,85,30,69,1015,Rajahmundry
21,2019-01-22,Sunny,84,29,71,1015,Rajahmundry
22,2019-01-23,Partly cloudy,84,29,71,1015,Rajahmundry
23,2019-01-24,Partly cloudy,85,30,73,1015,Rajahmundry
24,2019-01-25,Partly cloudy,86,30,74,1015,Rajahmundry
25,2019-01-26,Partly cloudy,87,30,70,1015,Rajahmundry
26,2019-01-27,Partly cloudy,85,30,66,1016,Rajahmundry
27,2019-01-28,Patchy rain possible,80,27,64,1016,Rajahmundry
28,2019-01-29,Partly cloudy,88,31,60,1016,Rajahmundry
29,2019-01-30,Patchy rain possible,83,28,75,1017,Rajahmundry
30,2019-01-31,Partly cloudy,83,28,69,1017,Rajahmundry
31,2019-02-01,Partly cloudy,85,29,66,1016,Rajahmundry
32,2019-02-02,Partly cloudy,87,31,66,1014,Rajahmundry
33,2019-02-03,Partly cloudy,87,31,62,1016,Rajahmundry
34,2019-02-04,Partly cloudy,89,31,55,1017,Rajahmundry
35,2019-02-05,Partly cloudy,91,33,57,1017,Rajahmundry
36,2019-02-06,Partly cloudy,89,32,60,1014,Rajahmundry
37,2019-02-07,Partly cloudy,89,32,60,1014,Rajahmundry
38,2019-02-08,Cloudy,89,32,59,1014,Rajahmundry
39,2019-02-09,Partly cloudy,91,33,65,1014,Rajahmundry
40,2019-02-10,Moderate or heavy rain shower,88,31,78,1016,Rajahmundry
41,2019-02-11,Partly cloudy,88,31,74,1017,Rajahmundry
42,2019-02-12,Partly cloudy,88,31,72,1018,Rajahmundry
43,2019-02-13,Sunny,89,32,67,1018,Rajahmundry
44,2019-02-14,Sunny,91,33,61,1016,Rajahmundry
45,2019-02-15,Partly cloudy,92,33,62,1015,Rajahmundry
46,2019-02-16,Cloudy,90,32,66,1014,Rajahmundry
47,2019-02-17,Light rain shower,90,32,76,1013,Rajahmundry
48,2019-02-18,Patchy rain possible,91,33,73,1011,Rajahmundry
49,2019-02-19,Moderate rain at times,93,34,73,1012,Rajahmundry
50,2019-02-20,Partly cloudy,94,34,71,1015,Rajahmundry
51,2019-02-21,Partly cloudy,95,35,63,1017,Rajahmundry
52,2019-02-22,Partly cloudy,102,39,51,1014,Rajahmundry
53,2019-02-23,Partly cloudy,99,37,49,1012,Rajahmundry
54,2019-02-24,Partly cloudy,97,36,48,1011,Rajahmundry
55,2019-02-25,Partly cloudy,96,35,62,1010,Rajahmundry
56,2019-02-26,Patchy rain possible,92,34,68,1010,Rajahmundry
57,2019-02-27,Light rain shower,91,33,73,1009,Rajahmundry
58,2019-02-28,Patchy rain possible,93,34,71,1010,Rajahmundry
59,2019-03-01,Light rain shower,91,33,72,1011,Rajahmundry
60,2019-03-02,Light rain shower,90,32,71,1012,Rajahmundry
61,2019-03-03,Cloudy,92,34,70,1011,Rajahmundry
62,2019-03-04,Partly cloudy,94,35,68,1009,Rajahmundry
63,2019-03-05,Partly cloudy,96,36,69,1007,Rajahmundry
64,2019-03-06,Patchy rain possible,94,35,73,1008,Rajahmundry
65,2019-03-07,Patchy rain possible,95,35,69,1009,Rajahmundry
66,2019-03-08,Light rain shower,93,34,72,1011,Rajahmundry
67,2019-03-09,Cloudy,93,34,71,1012,Rajahmundry
68,2019-03-10,Partly cloudy,95,35,69,1012,Rajahmundry
69,2019-03-11,Partly cloudy,97,36,66,1013,Rajahmundry
70,2019-03-12,Partly cloudy,98,37,60,1013,Rajahmundry
71,2019-03-13,Partly cloudy,100,38,54,1013,Rajahmundry
72,2019-03-14,Partly cloudy,100,38,48,1013,Rajahmundry
73,2019-03-15,Partly cloudy,101,38,47,1013,Rajahmundry
74,2019-03-16,Partly cloudy,98,37,52,1013,Rajahmundry
75,2019-03-17,Partly cloudy,98,37,55,1013,Rajahmundry
76,2019-03-18,Partly cloudy,96,36,54,1012,Rajahmundry
77,2019-03-19,Partly cloudy,97,36,56,1011,Rajahmundry
78,2019-03-20,Partly cloudy,98,36,62,1010,Rajahmundry
79,2019-03-21,Partly cloudy,97,36,62,1012,Rajahmundry
80,2019-03-22,Partly cloudy,98,37,60,1012,Rajahmundry
81,2019-03-23,Partly cloudy,101,38,57,1011,Rajahmundry
82,2019-03-24,Moderate or heavy rain shower,100,38,57,1010,Rajahmundry
83,2019-03-25,Partly cloudy,100,38,55,1011,Rajahmundry
84,2019-03-26,Partly cloudy,100,38,54,1012,Rajahmundry
85,2019-03-27,Partly cloudy,102,39,56,1012,Rajahmundry
86,2019-03-28,Partly cloudy,102,39,52,1012,Rajahmundry
