,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,2019-01-01,Partly cloudy,83,28,68,1017,Tiruchirappalli
1,2019-01-02,Partly cloudy,81,27,68,1017,Tiruchirappalli
2,2019-01-03,Partly cloudy,84,29,71,1018,Tiruchirappalli
3,2019-01-04,Partly cloudy,83,28,70,1017,Tiruchirappalli
4,2019-01-05,Partly cloudy,84,29,71,1016,Tiruchirappalli
5,2019-01-06,Partly cloudy,82,28,74,1015,Tiruchirappalli
6,2019-01-07,Partly cloudy,85,30,72,1014,Tiruchirappalli
7,2019-01-08,Sunny,86,30,67,1014,Tiruchirappalli
8,2019-01-09,Sunny,85,30,62,1014,Tiruchirappalli
9,2019-01-10,Partly cloudy,85,30,69,1014,Tiruchirappalli
10,2019-01-11,Partly cloudy,85,30,74,1015,Tiruchirappalli
11,2019-01-12,Partly cloudy,85,30,72,1015,Tiruchirappalli
12,2019-01-13,Partly cloudy,85,30,74,1014,Tiruchirappalli
13,2019-01-14,Partly cloudy,86,30,70,1014,Tiruchirappalli
14,2019-01-15,Sunny,86,30,67,1014,Tiruchirappalli
15,2019-01-16,Partly cloudy,86,30,66,1015,Tiruchirappalli
16,2019-01-17,Partly cloudy,84,29,72,1014,Tiruchirappalli
17,2019-01-18,Partly cloudy,85,30,69,1014,Tiruchirappalli
18,2019-01-19,Partly cloudy,86,30,68,1014,Tiruchirappalli
19,2019-01-20,Sunny,86,30,65,1015,Tiruchirappalli
20,2019-01-21,Partly cloudy,85,30,66,1015,Tiruchirappalli
21,2019-01-22,Partly cloudy,87,30,70,1014,Tiruchirappalli
22,2019-01-23,Partly cloudy,88,31,70,1014,Tiruchirappalli
23,2019-01-24,Partly cloudy,88,31,71,1014,Tiruchirappalli
24,2019-01-25,Light rain shower,88,31,75,1014,Tiruchirappalli
25,2019-01-26,Patchy rain possible,88,31,75,1014,Tiruchirappalli
26,2019-01-27,Patchy rain possible,89,32,72,1014,Tiruchirappalli
27,2019-01-28,Partly cloudy,87,31,71,1015,Tiruchirappalli
28,2019-01-29,Overcast,85,30,69,1015,Tiruchirappalli
29,2019-01-30,Cloudy,85,29,70,1015,Tiruchirappalli
30,2019-01-31,Patchy rain possible,85,30,72,1015,Tiruchirappalli
31,2019-02-01,Patchy rain possible,87,30,71,1015,Tiruchirappalli
32,2019-02-02,Partly cloudy,89,31,67,1014,Tiruchirappalli
33,2019-02-03,Partly cloudy,89,32,68,1014,Tiruchirappalli
34,2019-02-04,Light rain shower,88,31,72,1016,Tiruchirappalli
35,2019-02-05,Cloudy,90,32,68,1016,Tiruchirappalli
