,No,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,0,2019-01-01,0,78,26,64,1018,Nellore
1,1,2019-01-02,0,81,27,67,1018,Nellore
2,2,2019-01-03,0,81,27,70,1018,Nellore
3,3,2019-01-04,0,82,28,71,1018,Nellore
4,4,2019-01-05,1,81,27,74,1017,Nellore
5,5,2019-01-06,0,80,27,74,1015,Nellore
6,6,2019-01-07,0,80,27,76,1014,Nellore
7,7,2019-01-08,0,82,28,70,1014,Nellore
8,8,2019-01-09,0,82,28,70,1014,Nellore
9,9,2019-01-10,0,82,28,73,1014,Nellore
10,10,2019-01-11,0,82,28,75,1015,Nellore
11,11,2019-01-12,0,82,28,73,1015,Nellore
12,12,2019-01-13,0,81,27,72,1015,Nellore
13,13,2019-01-14,0,82,28,72,1015,Nellore
14,14,2019-01-15,0,82,28,75,1015,Nellore
15,15,2019-01-16,0,82,28,75,1015,Nellore
16,16,2019-01-17,0,82,28,76,1014,Nellore
17,17,2019-01-18,0,82,28,74,1014,Nellore
18,18,2019-01-19,0,82,28,71,1014,Nellore
19,19,2019-01-20,0,82,28,71,1015,Nellore
20,20,2019-01-21,0,82,28,71,1015,Nellore
21,21,2019-01-22,0,82,28,72,1015,Nellore
22,22,2019-01-23,0,83,28,75,1014,Nellore
23,23,2019-01-24,0,84,29,77,1015,Nellore
24,24,2019-01-25,0,85,30,78,1014,Nellore
25,25,2019-01-26,1,85,30,79,1014,Nellore
26,26,2019-01-27,1,83,29,77,1015,Nellore
27,27,2019-01-28,1,78,25,79,1016,Nellore
28,28,2019-01-29,0,80,27,76,1016,Nellore
29,29,2019-01-30,0,81,27,71,1016,Nellore
30,30,2019-01-31,1,81,27,75,1016,Nellore
31,31,2019-02-01,1,81,27,72,1015,Nellore
32,32,2019-02-02,0,83,28,74,1014,Nellore
33,33,2019-02-03,0,84,29,75,1015,Nellore
34,34,2019-02-04,0,84,29,74,1017,Nellore
35,35,2019-02-05,0,85,29,70,1017,Nellore
36,36,2019-02-06,0,85,29,72,1014,Nellore
37,37,2019-02-07,0,85,30,72,1013,Nellore
38,38,2019-02-08,0,86,30,77,1013,Nellore
39,39,2019-02-09,0,87,31,77,1013,Nellore
40,40,2019-02-10,1,86,30,78,1015,Nellore
41,41,2019-02-11,1,85,30,77,1016,Nellore
42,42,2019-02-12,0,85,29,76,1017,Nellore
43,43,2019-02-13,0,85,29,75,1018,Nellore
44,44,2019-02-14,0,85,30,74,1015,Nellore
45,45,2019-02-15,0,88,31,72,1014,Nellore
46,46,2019-02-16,0,90,32,71,1013,Nellore
47,47,2019-02-17,0,90,32,76,1012,Nellore
48,48,2019-02-18,1,91,33,74,1011,Nellore
49,49,2019-02-19,0,91,33,74,1012,Nellore
50,50,2019-02-20,0,88,31,78,1015,Nellore
51,51,2019-02-21,1,87,31,73,1017,Nellore
52,52,2019-02-22,0,89,32,65,1014,Nellore
53,53,2019-02-23,0,92,33,51,1012,Nellore
54,54,2019-02-24,0,92,34,56,1011,Nellore
55,55,2019-02-25,0,92,34,62,1010,Nellore
56,56,2019-02-26,0,92,33,67,1009,Nellore
57,57,2019-02-27,0,91,33,73,1008,Nellore
58,58,2019-02-28,0,93,34,72,1009,Nellore
59,59,2019-03-01,1,91,33,74,1010,Nellore
60,60,2019-03-02,1,89,32,71,1011,Nellore
61,61,2019-03-03,0,89,32,70,1011,Nellore
62,62,2019-03-04,0,92,34,66,1009,Nellore
63,63,2019-03-05,0,98,37,59,1008,Nellore
64,64,2019-03-06,0,100,38,57,1008,Nellore
65,65,2019-03-07,0,98,37,63,1008,Nellore
66,66,2019-03-08,1,94,34,71,1010,Nellore
67,67,2019-03-09,0,94,34,70,1012,Nellore
68,68,2019-03-10,0,95,35,69,1012,Nellore
69,69,2019-03-11,0,94,35,65,1013,Nellore
70,70,2019-03-12,0,96,36,60,1013,Nellore
71,71,2019-03-13,0,96,36,56,1013,Nellore
72,72,2019-03-14,0,97,36,51,1013,Nellore
73,73,2019-03-15,0,96,36,51,1013,Nellore
74,74,2019-03-16,0,93,34,59,1013,Nellore
75,75,2019-03-17,0,91,33,63,1013,Nellore
76,76,2019-03-18,0,93,34,60,1012,Nellore
77,77,2019-03-19,0,93,34,65,1011,Nellore
78,78,2019-03-20,0,94,35,64,1010,Nellore
79,79,2019-03-21,0,94,35,63,1011,Nellore
80,80,2019-03-22,0,96,35,64,1012,Nellore
81,81,2019-03-23,0,97,36,64,1011,Nellore
82,82,2019-03-24,0,98,37,61,1010,Nellore
83,83,2019-03-25,0,96,36,61,1011,Nellore
84,84,2019-03-26,0,96,36,60,1012,Nellore
85,85,2019-03-27,0,96,36,58,1012,Nellore
86,86,2019-03-28,0,97,36,57,1012,Nellore
87,87,2019-03-29,0,98,37,59,1010,Nellore
88,88,2019-03-30,0,101,38,49,1009,Nellore
89,89,2019-03-31,0,102,39,46,1009,Nellore
90,90,2019-04-01,0,102,39,49,1009,Nellore
91,91,2019-04-02,0,100,38,56,1009,Nellore
92,92,2019-04-03,0,97,36,65,1010,Nellore
93,93,2019-04-04,0,98,37,63,1011,Nellore
94,94,2019-04-05,0,100,38,59,1011,Nellore
95,95,2019-04-06,0,101,38,55,1010,Nellore
96,96,2019-04-07,0,100,38,58,1009,Nellore
97,97,2019-04-08,0,99,37,62,1008,Nellore
98,98,2019-04-09,0,99,37,63,1008,Nellore
99,99,2019-04-10,0,100,38,63,1009,Nellore
100,100,2019-04-11,0,101,38,61,1009,Nellore
101,101,2019-04-12,0,103,39,58,1008,Nellore
102,102,2019-04-13,0,103,39,54,1008,Nellore
103,103,2019-04-14,0,102,39,51,1009,Nellore
104,104,2019-04-15,0,104,40,44,1009,Nellore
105,105,2019-04-16,0,101,38,52,1009,Nellore
106,106,2019-04-17,0,101,39,56,1009,Nellore
107,107,2019-04-18,0,99,37,66,1008,Nellore
108,108,2019-04-19,0,99,37,61,1008,Nellore
109,109,2019-04-20,1,99,37,64,1007,Nellore
110,110,2019-04-21,0,100,38,60,1006,Nellore
111,111,2019-04-22,0,100,38,59,1006,Nellore
112,112,2019-04-23,0,100,38,58,1008,Nellore
113,113,2019-04-24,0,100,38,58,1009,Nellore
114,114,2019-04-25,0,101,38,56,1008,Nellore
115,115,2019-04-26,0,103,39,56,1006,Nellore
116,116,2019-04-27,0,103,39,59,1007,Nellore
117,117,2019-04-28,0,101,38,61,1007,Nellore
118,118,2019-04-29,0,102,39,60,1006,Nellore
119,119,2019-04-30,0,100,38,61,1005,Nellore
120,120,2019-05-01,1,95,35,61,1004,Nellore
121,121,2019-05-02,0,103,39,44,1002,Nellore
122,122,2019-05-03,0,107,42,35,1003,Nellore
123,123,2019-05-04,0,105,41,40,1006,Nellore
124,124,2019-05-05,0,105,41,38,1007,Nellore
125,125,2019-05-06,0,109,43,42,1006,Nellore
126,126,2019-05-07,0,108,42,39,1005,Nellore
127,127,2019-05-08,0,107,42,37,1005,Nellore
128,128,2019-05-09,0,110,43,34,1004,Nellore
129,129,2019-05-10,0,109,43,39,1004,Nellore
130,130,2019-05-11,0,106,41,52,1006,Nellore
131,131,2019-05-12,0,104,40,54,1006,Nellore
132,132,2019-05-13,0,102,39,60,1006,Nellore
133,133,2019-05-14,0,104,40,56,1005,Nellore
134,134,2019-05-15,0,104,40,57,1006,Nellore
135,135,2019-05-16,0,101,38,63,1007,Nellore
136,136,2019-05-17,0,105,40,57,1007,Nellore
137,137,2019-05-18,0,104,40,57,1006,Nellore
138,138,2019-05-19,0,106,41,48,1006,Nellore
139,139,2019-05-20,0,106,41,45,1007,Nellore
140,140,2019-05-21,0,106,41,45,1006,Nellore
141,141,2019-05-22,0,104,40,51,1006,Nellore
142,142,2019-05-23,0,104,40,54,1006,Nellore
143,143,2019-05-24,0,104,40,56,1006,Nellore
144,144,2019-05-25,0,106,41,55,1005,Nellore
145,145,2019-05-26,0,110,43,47,1003,Nellore
146,146,2019-05-27,0,108,42,46,1003,Nellore
147,147,2019-05-28,1,108,42,48,1003,Nellore
148,148,2019-05-29,0,107,41,48,1002,Nellore
149,149,2019-05-30,0,107,41,50,1002,Nellore
150,150,2019-05-31,0,106,41,51,1003,Nellore
151,151,2019-06-01,1,106,41,46,1004,Nellore
152,152,2019-06-02,1,107,42,49,1003,Nellore
153,153,2019-06-03,1,105,40,46,1003,Nellore
154,154,2019-06-04,0,104,40,45,1003,Nellore
155,155,2019-06-05,0,105,41,51,1002,Nellore
156,156,2019-06-06,0,106,41,50,1003,Nellore
157,157,2019-06-07,0,107,42,47,1002,Nellore
158,158,2019-06-08,0,105,40,50,1003,Nellore
159,159,2019-06-09,1,106,41,45,1002,Nellore
160,160,2019-06-10,1,107,42,39,1002,Nellore
161,161,2019-06-11,1,105,40,40,1003,Nellore
162,162,2019-06-12,0,109,43,36,1003,Nellore
163,163,2019-06-13,0,103,40,40,1004,Nellore
164,164,2019-06-14,1,103,40,42,1004,Nellore
165,165,2019-06-15,0,106,41,42,1004,Nellore
166,166,2019-06-16,0,107,42,39,1004,Nellore
167,167,2019-06-17,1,103,40,45,1005,Nellore
168,168,2019-06-18,1,103,39,47,1005,Nellore
169,169,2019-06-19,0,105,41,46,1003,Nellore
170,170,2019-06-20,0,102,39,44,1003,Nellore
171,171,2019-06-21,1,97,36,54,1003,Nellore
172,172,2019-06-22,1,90,32,66,1004,Nellore
173,173,2019-06-23,1,93,34,62,1003,Nellore
174,174,2019-06-24,1,94,34,63,1004,Nellore
175,175,2019-06-25,1,96,36,58,1005,Nellore
176,176,2019-06-26,1,92,33,63,1005,Nellore
177,177,2019-06-27,1,94,35,64,1004,Nellore
178,178,2019-06-28,1,98,37,50,1003,Nellore
179,179,2019-06-29,1,98,36,50,1003,Nellore
180,180,2019-06-30,1,94,34,59,1004,Nellore
181,181,2019-07-01,1,98,36,54,1003,Nellore
182,182,2019-07-02,0,99,37,54,1003,Nellore
183,183,2019-07-03,0,100,38,46,1003,Nellore
184,184,2019-07-04,0,101,38,44,1003,Nellore
185,185,2019-07-05,1,97,36,46,1003,Nellore
186,186,2019-07-06,1,99,37,47,1003,Nellore
187,187,2019-07-07,0,98,37,45,1004,Nellore
188,188,2019-07-08,1,97,36,46,1005,Nellore
189,189,2019-07-09,0,101,38,45,1005,Nellore
