,No,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,0,2019-01-01,0,83,28,68,1017,Tiruchirappalli
1,1,2019-01-02,0,81,27,68,1017,Tiruchirappalli
2,2,2019-01-03,0,84,29,71,1018,Tiruchirappalli
3,3,2019-01-04,0,83,28,70,1017,Tiruchirappalli
4,4,2019-01-05,0,84,29,71,1016,Tiruchirappalli
5,5,2019-01-06,0,82,28,74,1015,Tiruchirappalli
6,6,2019-01-07,0,85,30,72,1014,Tiruchirappalli
7,7,2019-01-08,0,86,30,67,1014,Tiruchirappalli
8,8,2019-01-09,0,85,30,62,1014,Tiruchirappalli
9,9,2019-01-10,0,85,30,69,1014,Tiruchirappalli
10,10,2019-01-11,0,85,30,74,1015,Tiruchirappalli
11,11,2019-01-12,0,85,30,72,1015,Tiruchirappalli
12,12,2019-01-13,0,85,30,74,1014,Tiruchirappalli
13,13,2019-01-14,0,86,30,70,1014,Tiruchirappalli
14,14,2019-01-15,0,86,30,67,1014,Tiruchirappalli
15,15,2019-01-16,0,86,30,66,1015,Tiruchirappalli
16,16,2019-01-17,0,84,29,72,1014,Tiruchirappalli
17,17,2019-01-18,0,85,30,69,1014,Tiruchirappalli
18,18,2019-01-19,0,86,30,68,1014,Tiruchirappalli
19,19,2019-01-20,0,86,30,65,1015,Tiruchirappalli
20,20,2019-01-21,0,85,30,66,1015,Tiruchirappalli
21,21,2019-01-22,0,87,30,70,1014,Tiruchirappalli
22,22,2019-01-23,0,88,31,70,1014,Tiruchirappalli
23,23,2019-01-24,0,88,31,71,1014,Tiruchirappalli
24,24,2019-01-25,1,88,31,75,1014,Tiruchirappalli
25,25,2019-01-26,1,88,31,75,1014,Tiruchirappalli
26,26,2019-01-27,1,89,32,72,1014,Tiruchirappalli
27,27,2019-01-28,0,87,31,71,1015,Tiruchirappalli
28,28,2019-01-29,0,85,30,69,1015,Tiruchirappalli
29,29,2019-01-30,0,85,29,70,1015,Tiruchirappalli
30,30,2019-01-31,1,85,30,72,1015,Tiruchirappalli
31,31,2019-02-01,1,87,30,71,1015,Tiruchirappalli
32,32,2019-02-02,0,89,31,67,1014,Tiruchirappalli
33,33,2019-02-03,0,89,32,68,1014,Tiruchirappalli
34,34,2019-02-04,1,88,31,72,1016,Tiruchirappalli
35,35,2019-02-05,0,90,32,68,1016,Tiruchirappalli
36,36,2019-02-06,0,90,32,62,1014,Tiruchirappalli
37,37,2019-02-07,0,91,33,66,1013,Tiruchirappalli
38,38,2019-02-08,1,91,33,69,1013,Tiruchirappalli
39,39,2019-02-09,0,93,34,66,1013,Tiruchirappalli
40,40,2019-02-10,0,92,33,68,1015,Tiruchirappalli
41,41,2019-02-11,1,88,31,70,1015,Tiruchirappalli
42,42,2019-02-12,1,89,32,71,1016,Tiruchirappalli
43,43,2019-02-13,0,90,32,66,1017,Tiruchirappalli
44,44,2019-02-14,1,90,32,67,1015,Tiruchirappalli
45,45,2019-02-15,1,90,32,70,1014,Tiruchirappalli
46,46,2019-02-16,0,94,34,66,1014,Tiruchirappalli
47,47,2019-02-17,1,94,35,66,1012,Tiruchirappalli
48,48,2019-02-18,0,93,34,61,1011,Tiruchirappalli
49,49,2019-02-19,1,92,33,66,1012,Tiruchirappalli
50,50,2019-02-20,1,90,32,70,1015,Tiruchirappalli
51,51,2019-02-21,0,93,34,64,1016,Tiruchirappalli
52,52,2019-02-22,0,93,34,58,1015,Tiruchirappalli
53,53,2019-02-23,0,94,34,53,1013,Tiruchirappalli
54,54,2019-02-24,0,95,35,54,1012,Tiruchirappalli
55,55,2019-02-25,0,95,35,58,1011,Tiruchirappalli
56,56,2019-02-26,0,97,36,62,1010,Tiruchirappalli
57,57,2019-02-27,0,95,35,62,1009,Tiruchirappalli
58,58,2019-02-28,0,95,35,60,1009,Tiruchirappalli
59,59,2019-03-01,1,95,35,61,1010,Tiruchirappalli
60,60,2019-03-02,1,94,34,63,1011,Tiruchirappalli
61,61,2019-03-03,1,94,34,64,1011,Tiruchirappalli
62,62,2019-03-04,1,95,35,61,1010,Tiruchirappalli
63,63,2019-03-05,0,98,37,53,1009,Tiruchirappalli
64,64,2019-03-06,0,100,38,54,1009,Tiruchirappalli
65,65,2019-03-07,0,100,38,54,1009,Tiruchirappalli
66,66,2019-03-08,0,99,37,52,1010,Tiruchirappalli
67,67,2019-03-09,1,94,34,57,1012,Tiruchirappalli
68,68,2019-03-10,1,95,35,61,1013,Tiruchirappalli
69,69,2019-03-11,0,96,36,57,1014,Tiruchirappalli
70,70,2019-03-12,0,97,36,54,1014,Tiruchirappalli
71,71,2019-03-13,0,97,36,53,1014,Tiruchirappalli
72,72,2019-03-14,0,97,36,52,1014,Tiruchirappalli
73,73,2019-03-15,0,96,36,52,1013,Tiruchirappalli
74,74,2019-03-16,1,95,35,56,1013,Tiruchirappalli
75,75,2019-03-17,0,95,35,57,1013,Tiruchirappalli
76,76,2019-03-18,0,96,36,57,1012,Tiruchirappalli
77,77,2019-03-19,0,97,36,57,1011,Tiruchirappalli
78,78,2019-03-20,0,96,36,56,1011,Tiruchirappalli
79,79,2019-03-21,0,98,36,57,1012,Tiruchirappalli
80,80,2019-03-22,1,99,37,58,1012,Tiruchirappalli
81,81,2019-03-23,1,100,38,57,1012,Tiruchirappalli
82,82,2019-03-24,0,100,38,53,1011,Tiruchirappalli
83,83,2019-03-25,0,100,38,52,1011,Tiruchirappalli
84,84,2019-03-26,0,99,37,53,1012,Tiruchirappalli
85,85,2019-03-27,0,99,37,52,1013,Tiruchirappalli
86,86,2019-03-28,0,102,39,44,1013,Tiruchirappalli
87,87,2019-03-29,0,99,37,39,1011,Tiruchirappalli
88,88,2019-03-30,0,99,37,40,1010,Tiruchirappalli
89,89,2019-03-31,0,103,39,42,1010,Tiruchirappalli
90,90,2019-04-01,0,102,39,43,1010,Tiruchirappalli
91,91,2019-04-02,0,101,38,50,1010,Tiruchirappalli
92,92,2019-04-03,1,100,38,53,1011,Tiruchirappalli
93,93,2019-04-04,0,99,37,52,1012,Tiruchirappalli
94,94,2019-04-05,0,100,38,50,1012,Tiruchirappalli
95,95,2019-04-06,0,102,39,46,1011,Tiruchirappalli
96,96,2019-04-07,0,102,39,47,1010,Tiruchirappalli
97,97,2019-04-08,1,99,37,54,1009,Tiruchirappalli
98,98,2019-04-09,0,102,39,49,1009,Tiruchirappalli
99,99,2019-04-10,0,101,38,49,1010,Tiruchirappalli
100,100,2019-04-11,0,102,39,49,1010,Tiruchirappalli
101,101,2019-04-12,0,103,39,48,1009,Tiruchirappalli
102,102,2019-04-13,0,102,39,50,1009,Tiruchirappalli
103,103,2019-04-14,0,101,39,50,1010,Tiruchirappalli
104,104,2019-04-15,0,101,39,50,1010,Tiruchirappalli
105,105,2019-04-16,1,102,39,48,1010,Tiruchirappalli
106,106,2019-04-17,1,102,39,50,1010,Tiruchirappalli
107,107,2019-04-18,1,102,39,49,1009,Tiruchirappalli
108,108,2019-04-19,1,101,38,51,1009,Tiruchirappalli
109,109,2019-04-20,1,101,38,51,1007,Tiruchirappalli
110,110,2019-04-21,1,96,36,52,1007,Tiruchirappalli
111,111,2019-04-22,0,100,38,52,1007,Tiruchirappalli
112,112,2019-04-23,1,99,37,53,1008,Tiruchirappalli
113,113,2019-04-24,0,101,38,50,1009,Tiruchirappalli
114,114,2019-04-25,0,100,38,51,1009,Tiruchirappalli
115,115,2019-04-26,0,103,39,48,1008,Tiruchirappalli
116,116,2019-04-27,0,102,39,48,1008,Tiruchirappalli
117,117,2019-04-28,0,103,39,49,1007,Tiruchirappalli
118,118,2019-04-29,1,103,40,48,1006,Tiruchirappalli
119,119,2019-04-30,0,103,39,42,1005,Tiruchirappalli
120,120,2019-05-01,1,99,37,45,1004,Tiruchirappalli
121,121,2019-05-02,0,104,40,43,1005,Tiruchirappalli
122,122,2019-05-03,0,105,41,37,1006,Tiruchirappalli
123,123,2019-05-04,0,103,40,41,1008,Tiruchirappalli
124,124,2019-05-05,0,105,40,41,1009,Tiruchirappalli
125,125,2019-05-06,0,107,42,43,1009,Tiruchirappalli
126,126,2019-05-07,1,103,40,47,1008,Tiruchirappalli
127,127,2019-05-08,0,99,37,46,1008,Tiruchirappalli
128,128,2019-05-09,0,104,40,43,1007,Tiruchirappalli
129,129,2019-05-10,1,105,40,47,1007,Tiruchirappalli
130,130,2019-05-11,0,104,40,51,1008,Tiruchirappalli
131,131,2019-05-12,0,102,39,46,1008,Tiruchirappalli
132,132,2019-05-13,0,103,39,45,1007,Tiruchirappalli
133,133,2019-05-14,1,104,40,46,1006,Tiruchirappalli
134,134,2019-05-15,1,102,39,50,1008,Tiruchirappalli
135,135,2019-05-16,1,103,40,46,1008,Tiruchirappalli
